date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:43	69/69	---M-Z	200	added ('OK')	text/plain	date:Sun,%2004%20Oct%202020%2011:30:42%20GMT	https://demo30.atiframe.com/robots.txt		(from )
17:00:43	248024/248024	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Oct%202020%2011:30:43%20GMT	https://demo30.atiframe.com/	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/index.html	(from )
17:00:44	17380/17380	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	C:/My%20Web%20Sites/final%20dynamo/ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	(from https://demo30.atiframe.com/)
17:00:45	13064/13064	---MC-	200	added ('OK')	application/rss+xml	etag:%2244fea81e45106d7626d9c25d3e431813%22	https://demo30.atiframe.com/feed/	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/feed/index.html	(from https://demo30.atiframe.com/)
17:00:45	47558/47558	---MCZ	200	added ('OK')	text/css	etag:W/%225d0cbe08-b9c6%22	https://demo30.atiframe.com/wp-includes/css/dashicons.min.css?ver=5.3.2	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-includes/css/dashicons.min9dff.css	(from https://demo30.atiframe.com/)
17:00:45	41467/41467	---MCZ	200	added ('OK')	text/css	etag:W/%225e74a6e2-a1fb%22	https://demo30.atiframe.com/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-includes/css/dist/block-library/style.min9dff.css	(from https://demo30.atiframe.com/)
17:00:46	57902/57902	---MCZ	200	added ('OK')	text/css	etag:W/%225e1fb490-e22e%22	https://demo30.atiframe.com/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.6	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/revslider/public/assets/css/rs6c098.css	(from https://demo30.atiframe.com/)
17:00:46	6154/6154	---MC-	200	added ('OK')	application/rss+xml	etag:%222bf78eea822cc1c9cc9b2538c58197ab%22	https://demo30.atiframe.com/comments/feed/	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/comments/feed/index.html	(from https://demo30.atiframe.com/)
17:00:46	68958/68958	---MCZ	200	added ('OK')	text/css	etag:W/%225e8b2d92-10d5e%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/frontend/css/kingcomposer.min.css?ver=3.9.2.1	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/frontend/css/kingcomposer.minceb5.css	(from https://demo30.atiframe.com/)
17:00:47	36745/36745	---MCZ	200	added ('OK')	text/css	etag:W/%225e8b2d90-8f89%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/animate.css?ver=3.9.2.1	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/animateceb5.css	(from https://demo30.atiframe.com/)
17:00:48	29098/29098	---MCZ	200	added ('OK')	text/css	etag:W/%225d0cbe02-71aa%22	https://demo30.atiframe.com/wp-content/uploads/sl_icons/native/native.css?ver=3.9.2.1	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/uploads/sl_icons/native/nativeceb5.css	(from https://demo30.atiframe.com/)
17:00:48	49302/49302	---MCZ	200	added ('OK')	text/css	etag:W/%225e8b2d90-c096%22	https://demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/icons.css?ver=3.9.2.1	C:/My%20Web%20Sites/final%20dynamo/demo30.atiframe.com/wp-content/plugins/kingcomposer/assets/css/iconsceb5.css	(from https://demo30.atiframe.com/)
